dataset_slug,dataset_name,task_name,fold,problem_type,num_trials,sample_size,seed,train_metric_error,val_metric_error,test_metric_error,train_rows,val_rows,test_rows,model_train_seconds,run_seconds,status,hf_found,hf_dataset_name,hf_metric_name,hf_metric_error,hf_best_metric_error,hf_total_methods,rt_delta_vs_hf_best,rt_method,rt_config
airfoil-self-noise,tabarena-airfoil-self-noise,fold-0,0,regression,1,0,42,nan,nan,6.685406684875488,801,201,501,1.9073486328125e-06,6.9151222705841064,ok,True,airfoil_self_noise,rmse,1.48537141921174,0.9148346227283912,45.0,5.770572062147097,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-1,1,regression,1,0,42,nan,nan,6.393072605133057,801,201,501,2.1457672119140625e-06,4.532561540603638,ok,True,airfoil_self_noise,rmse,1.4717427390860092,1.0728942273125233,45.0,5.320178377820533,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-2,2,regression,1,0,42,nan,nan,6.8835225105285645,801,201,501,1.430511474609375e-06,4.341958999633789,ok,True,airfoil_self_noise,rmse,1.6004814370861735,1.0424510584287758,45.0,5.841071452099788,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-3,3,regression,1,0,42,nan,nan,6.5642476081848145,801,201,501,1.1920928955078125e-06,4.33678674697876,ok,True,airfoil_self_noise,rmse,1.5332980147541346,1.028173689596162,45.0,5.536073918588652,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-4,4,regression,1,0,42,nan,nan,6.46836519241333,801,201,501,1.430511474609375e-06,4.551220417022705,ok,True,airfoil_self_noise,rmse,1.5199041817704546,0.9883040405079432,45.0,5.480061151905387,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-5,5,regression,1,0,42,nan,nan,6.9288010597229,801,201,501,1.430511474609375e-06,4.356151580810547,ok,True,airfoil_self_noise,rmse,1.6209394827922323,1.215976608556744,45.0,5.712824451166156,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-6,6,regression,1,0,42,nan,nan,6.441540241241455,801,201,501,1.1920928955078125e-06,4.357313632965088,ok,True,airfoil_self_noise,rmse,1.4903638999977191,1.0902574093038035,45.0,5.3512828319376515,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-7,7,regression,1,0,42,nan,nan,6.776213645935059,801,201,501,1.6689300537109375e-06,4.359411716461182,ok,True,airfoil_self_noise,rmse,1.648461338945206,1.3060846977269098,45.0,5.470128948208149,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-8,8,regression,1,0,42,nan,nan,6.690708160400391,801,201,501,1.1920928955078125e-06,4.536639213562012,ok,True,airfoil_self_noise,rmse,1.353589955770648,0.9285486147696846,45.0,5.7621595456307055,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-9,9,regression,1,0,42,nan,nan,6.740242958068848,801,201,501,1.1920928955078125e-06,4.3661603927612305,ok,True,airfoil_self_noise,rmse,1.4470224713896538,0.9329625227148106,45.0,5.807280435354037,RT (synthetic-pretrain_rdb_512_size_16b.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=False qk_norm=True random_sampling=True steps=0 eval_batches=200 ckpt=synthetic-pretrain_rdb_512_size_16b.pt
