dataset_slug,dataset_name,task_name,fold,problem_type,num_trials,sample_size,seed,train_metric_error,val_metric_error,test_metric_error,train_rows,val_rows,test_rows,model_train_seconds,run_seconds,status,hf_found,hf_dataset_name,hf_metric_name,hf_metric_error,hf_best_metric_error,hf_total_methods,rt_delta_vs_hf_best,rt_method,rt_config
airfoil-self-noise,tabarena-airfoil-self-noise,fold-0,0,regression,1,0,42,nan,nan,7.123007774353027,801,201,501,3.337860107421875e-06,14.147141933441162,ok,True,airfoil_self_noise,rmse,1.48537141921174,0.9148346227283912,45.0,6.208173151624636,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-1,1,regression,1,0,42,nan,nan,6.7177252769470215,801,201,501,2.6226043701171875e-06,8.858768939971924,ok,True,airfoil_self_noise,rmse,1.4717427390860092,1.0728942273125233,45.0,5.644831049634498,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-2,2,regression,1,0,42,nan,nan,7.25927734375,801,201,501,2.384185791015625e-06,10.281052350997925,ok,True,airfoil_self_noise,rmse,1.6004814370861735,1.0424510584287758,45.0,6.216826285321224,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-3,3,regression,1,0,42,nan,nan,7.019705295562744,801,201,501,2.6226043701171875e-06,8.38564920425415,ok,True,airfoil_self_noise,rmse,1.5332980147541346,1.028173689596162,45.0,5.991531605966582,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-4,4,regression,1,0,42,nan,nan,6.639610290527344,801,201,501,1.9073486328125e-06,6.343152046203613,ok,True,airfoil_self_noise,rmse,1.5199041817704546,0.9883040405079432,45.0,5.651306250019401,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-5,5,regression,1,0,42,nan,nan,7.205032825469971,801,201,501,1.1920928955078125e-06,6.216735124588013,ok,True,airfoil_self_noise,rmse,1.6209394827922323,1.215976608556744,45.0,5.989056216913227,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-6,6,regression,1,0,42,nan,nan,6.79495096206665,801,201,501,2.6226043701171875e-06,6.3337390422821045,ok,True,airfoil_self_noise,rmse,1.4903638999977191,1.0902574093038035,45.0,5.704693552762847,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-7,7,regression,1,0,42,nan,nan,7.180237293243408,801,201,501,1.1920928955078125e-06,6.5100929737091064,ok,True,airfoil_self_noise,rmse,1.648461338945206,1.3060846977269098,45.0,5.874152595516499,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-8,8,regression,1,0,42,nan,nan,7.011948108673096,801,201,501,1.6689300537109375e-06,6.467179775238037,ok,True,airfoil_self_noise,rmse,1.353589955770648,0.9285486147696846,45.0,6.083399493903411,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
airfoil-self-noise,tabarena-airfoil-self-noise,fold-9,9,regression,1,0,42,nan,nan,7.049232482910156,801,201,501,1.9073486328125e-06,6.328566074371338,ok,True,airfoil_self_noise,rmse,1.4470224713896538,0.9329625227148106,45.0,6.116269960195345,RT (pretrain_rel-amazon_user-churn.pt),bs=16 sl=128 d=256 blocks=12 heads=8 full=True qk_norm=False random_sampling=True steps=0 eval_batches=200 ckpt=pretrain_rel-amazon_user-churn.pt
